period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2014/1/1,,0.03,0.14,0.02,0.03
2014/1/2,,0.02,0.06,0,0
2014/1/3,,0,0,0,0
2014/1/4,,0,0,0,0
2014/1/5,,0.35,0.68,0.17,0.64
2014/1/6,,0,0,0,0
2014/1/7,,0,0,0,0
2014/1/8,,0,0,0,0
2014/1/9,,0,0.01,0,0
2014/1/10,,0.29,0.3,0.36,0.34
2014/1/11,,0.13,0.13,0.19,0.16
2014/1/12,,0,0,0,0
2014/1/13,,0,0,0,0
2014/1/14,,0,0,0,0
2014/1/15,,0,0,0,0
2014/1/16,,0.05,0.04,0.1,0.09
2014/1/17,,0.01,0.01,0.02,0.02
2014/1/18,,0,0,0,0
2014/1/19,,0,0,0,0
2014/1/20,,0,0,0,0
2014/1/21,,0,0,0,0
2014/1/22,,0,0,0,0
2014/1/23,,0,0,0,0
2014/1/24,,0,0,0,0
2014/1/25,,0,0.01,0,0.01
2014/1/26,,0.02,0.04,0.06,0.04
2014/1/27,,0.01,0.04,0,0.03
2014/1/28,,0,0,0,0
2014/1/29,,0,0,0,0
2014/1/30,,0,0,0,0
2014/1/31,,0,0,0,0
2014/2/1,,0.5,0.54,0.61,0.59
2014/2/2,,0,0,0,0
2014/2/3,,0,0,0,0
2014/2/4,,0,0,0,0.02
2014/2/5,,0.06,0.21,0,0
2014/2/6,,0,0,0,0
2014/2/7,,0,0,0,0
2014/2/8,,0,0,0,0
2014/2/9,,0.01,0.03,0.03,0
2014/2/10,,0,0,0,0
2014/2/11,,0,0,0,0
2014/2/12,,0,0,0,0
2014/2/13,,0,0,0,0
2014/2/14,,0,0,0,0
2014/2/15,,0,0,0,0
2014/2/16,,0,0.01,0,0
2014/2/17,,0.2,0.22,0.21,0.19
2014/2/18,,0.01,0,0.01,0.02
2014/2/19,,0,0,0,0
2014/2/20,,0.93,0.86,0.91,0.8
2014/2/21,,0,0,0,0
2014/2/22,,0,0,0,0
2014/2/23,,0,0,0,0
2014/2/24,,0,0,0,0
2014/2/25,,0,0,0,0
2014/2/26,,0,0,0,0
2014/2/27,,0,0,0,0
2014/2/28,,0,0,0,0
2014/3/1,,0.06,0.14,0.02,0.08
2014/3/2,,0.04,0.09,0.05,0.08
2014/3/3,,0,0,0,0
