"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SN52","SNOW","SNWD","SX52","TMAX","TMIN","TOBS","WESD"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-01","0.33","30","4.7","6.0","31","16","12","12",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-02","0.41","30","4.3","8.0","30","15","10","10",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-03","0.01","30","0.2","7.0","30","16","-6","7",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-04","0.00","30","0.0","6.0","30","30","7","27",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-05","0.56","30","5.6","12.0","30","31","25","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-06","0.45","30","5.0","15.0","30","25","-8","-8","1.4"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-07","0.00","30","0.0","14.0","30","4","-14","-2",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-08","0.00","30","0.0","13.0","30","19","-5","11",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-09","0.00","30","0.1","12.0","30","21","-1","18",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-10","0.09","30","0.9","11.0","30","35","18","35","1.5"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-11","0.54","30","0.0","6.0","30","41","34","34",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-12","0.00","30","0.0","5.0","30","37","31","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-13","0.00","30","0.0","5.0","30","43","31","40","1.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-14","0.00","30","0.0","5.0","30","40","25","36",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-15","0.01","30","0.2","5.0","30","36","24","24",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-16","0.20","30","1.9","6.0","30","25","18","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-17","0.11","30","1.5","7.0","30","31","23","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-18","0.01","30","0.2","7.0","30","25","5","15",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-19","0.01","30","0.2","6.0","30","29","14","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-20","0.01","30","0.1","6.0","30","30","22","22","1.3"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-21","0.06","30","1.7","7.0","30","22","1","5",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-22","0.05","28","0.5","7.0","30","10","-6","9",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-23","0.06","28","1.0","8.0","28","16","4","10",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-24","0.00","28","0.0","7.0","28","11","-3","11",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-25","0.19","38","2.9","8.0","28","27","11","12",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2014-01-26","0.13","28","2.8","11.0","28","19","2","19",
